 period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
2014-02-01,2014-02-28,30,national,11,1400,f," National",National,U.S.,US,All Residential,-1,201060,0.0043043522762657993,0.11301402425195084,230736,0.042201882729007156,0.10085691824811271,111,-0.0032766034692096602,0.11159507787459599,124,0.021946916745205103,0.087051681982850404,308003,0.024512112242684569,-0.03486728781028281,233771,0.059067468807292078,-0.055719483990745999,487733,0.033337050173527061,-0.027124205056919481,1751626,0.020372802090405928,0.018835198723408553,5.6870305300161208,-0.023070375024684786,0.29976161094312026,79,3,-0,0.96985324447149091,0.00161752545996241,-7.0048195971450511e-06,0.19147543384910395,0.007602998750258938,-0.025427358027724944,0.068515507839179049,0.0063039257531172024,0.022982158112339585,0.36982914103598113,0.061838568366144764,-0.024373143969210587,,,2023-01-15 14:42:04
2014-07-01,2014-07-31,30,national,11,1400,f," National",National,U.S.,US,Single Family Residential,6,235881,-0.0032804677492309642,0.037698907650407065,239797,-0.026395674934076907,0.057001187202581516,119,0.0055694356854842919,0.048300272844236325,121,-0.0076316305656957129,0.048825556063489373,414266,-0.013587833983160436,-0.027502466768754674,299449,-0.064129291955395518,-0.02395330120694894,524172,-0.042438168351891736,0.035886572175294784,1678358,0.03817136170896851,0.065055683442100332,4.0513986688344668,0.20198701703911759,0.35208484625153735,47,-2,-7,0.97715530709382814,-0.0008753169261460636,-0.0030986837148904156,0.20983767867937342,-0.0079851711412810555,-0.034574808642386962,0.095361610193412411,-0.0010686956119225904,0.030762870258515429,0.30906420502982374,-0.021265710288846162,0.0066979522332757391,,,2023-01-15 14:42:04
2015-01-01,2015-01-31,30,national,11,1400,f," National",National,U.S.,US,Multi-Family (2-4 Unit),4,211598,-0.0021618945948612689,0.035115511304224079,224274,0.095244132933561376,0.032757046658013378,97,-0.0018900232587527599,0.019920654865871024,109,0.13702498604864588,0.064689777552039418,7510,-0.21947042188438926,0.066784075166808288,5438,-0.10679446555475713,0.069613540279890307,11852,0.42286812037899191,0.037884982689477598,47903,-0.01457860063481542,0.0019396025925997318,6.3778566458745871,1.3261033956475607,-0.41276814419302887,74,5,1,0.95039160257463817,-0.0026408445650077939,-0.00022590535489197539,0.19341695835129802,-0.0036685550777059983,-0.013350440665862495,0.064455619862090904,0.0073759541094961453,0.0047045226015816968,0.28428465676654957,0.072527867883488917,-0.013112483208659431,,,2023-01-15 14:42:04
2012-07-01,2012-07-31,30,national,11,1400,f," National",National,U.S.,US,All Residential,-1,191844,-0.010414943813060962,0.073874476445574544,193051,-0.030067292605699958,0.032769829732341993,104,-0.0050894763768616347,0.057856606033480418,106,-0.018123765925014967,0.020770287041422364,446929,-0.075467164096903128,0.13588044859046366,307376,-0.035684265033260831,0.22663353108280693,536984,-0.062115782079269821,0.029100798482053492,2112766,-0.016784871826434844,-0.17171721114770133,4.7272933535334927,0.28214416384704322,-1.7555651185962091,69,0,-15,0.97065979851996953,0.00032350183998142157,0.010826246881860957,0.20586686606522259,0.0037583906347059826,0.042419829631625827,0.060924236656836009,0.0010516764040904708,-0.015434593438680089,0.27811560503982541,-0.013677713309963535,0.057946591535426167,,,2023-01-15 14:42:04
2017-08-01,2017-08-31,30,national,11,1400,f," National",National,U.S.,US,Single Family Residential,6,280580,-0.0048941607251751229,0.065752136153944818,279591,-0.021393654024312814,0.054545417640828875,142,0.0040747583993636649,0.071241454569714646,143,-0.0027051262745958482,0.058231428993778422,483619,0.060509144253495517,0.020831096530414372,387492,0.0039799701616121119,0.059840137447018327,522721,-0.01825793764645911,0.030263211836818016,1347448,-0.010496950895330426,-0.080142226949533435,2.7861716741378091,-0.19993386697878313,-0.30583968735778733,40,2,-6,0.9845317085444496,-0.0023549078334423879,0.00255352466093417,0.25841083046478253,-0.017963674741473479,0.016772754300655029,0.1509543863262473,0.0069143922365943467,0.0051379186807596622,0.34897110130372366,-0.015633014869172901,0.02015775522184704,,,2023-01-15 14:42:04
2014-03-01,2014-03-31,30,national,11,1400,f," National",National,U.S.,US,Condo/Co-op,3,184842,0.058400861121562953,0.13395056796358462,202767,0.018297057197727007,0.11389250762696101,157,0.036274111216771487,0.12422445703405205,172,0.0054940442991071592,0.11415788023205775,48335,0.25629405469160793,-0.05810218114671728,42031,0.33867889954003072,0.068713147562890375,78833,0.25894219307493338,0.12570072389090181,215770,0.048044926187314596,0.030941443727793283,4.4639837721635152,-0.88700465693987773,0.38555952801465132,63,-8,-5,0.97048163992103087,0.0013885736030068152,-0.0010889864347843892,0.17760175990875482,0.0059203399804803603,-0.039159544056308865,0.061518823866812643,0.0017438282402219563,0.014939805356017952,0.37300466904100432,0.0068267623479670858,-0.013205719262386062,,,2023-01-15 14:42:04
2015-09-01,2015-09-30,30,national,11,1400,f," National",National,U.S.,US,Single Units Only,-2,234123,-0.024852534900855927,0.063040010321935069,248359,0.027990707237353973,0.06949171363900164,128,-0.0084849527898149812,0.061788557000130639,135,0.025589458362763828,0.063240521388538973,509649,-0.069775851991915827,0.11836953971951703,382534,-0.10393690227100971,0.15613582940170101,582471,-0.06179538163538334,0.049238822209252797,1939548,-0.01490929881179337,-0.045529110753093405,3.8056499112110136,0.21196311465180928,-0.65349387985089491,50,3,-6,0.97710888512113592,-0.0019095440132312902,0.0041373556416076651,0.20586421876452293,-0.012644519633355444,0.021761617017315243,0.14069207170843279,0.0044121752505188183,0.036577905655724816,0.30949489961307702,-0.0045302422191928482,0.033368630065833516,,,2023-01-15 14:42:04
2020-11-01,2020-11-30,30,national,11,1400,f," National",National,U.S.,US,Multi-Family (2-4 Unit),4,340899,-0.0083824976554686126,0.095445161291225711,382540,-0.042533153116129485,0.11935359414088587,153,-0.00055566961902819845,0.10726576282286815,169,-0.027341946930137917,0.12107554451243518,11579,-0.10760535306579277,0.11081441635581513,11335,-0.14546344109984388,0.22113634575579511,12553,-0.27042090473982183,0.1963559018227059,34128,-0.06737386783330912,-0.042049592038572392,2.9473021111420925,0.12714027333183076,-0.47031287936625832,29,3,-10,0.97991806008049731,-0.00034433819694246193,0.013924442398060566,0.32978872679135723,-0.002186708560413364,0.087304438267832712,0.104665734178289,-0.00065511577212132299,0.0061278362739839859,0.37284549681020307,-0.039191418518506105,0.039314831987474708,,,2023-01-15 14:42:04
2017-04-01,2017-04-30,30,national,11,1400,f," National",National,U.S.,US,Single Family Residential,6,271377,0.02836653788043253,0.073852178356148546,298828,-0.0069064703041596953,0.051031203018086391,137,0.022629088120820651,0.07132101677842595,145,0.002259022567650204,0.050109305877849231,393151,-0.027908864673442446,-0.022894599748209843,376168,0.047598528626704661,-0.0071069905931501198,559518,-0.04877791548454713,-0.065459379003348861,1246161,0.043692100059371741,-0.1130290743460769,3.1696766050187795,0.21745101145966839,-0.32210428456590812,42,-11,-8,0.98525312658807462,0.0039561486764685405,0.0033902303251358568,0.26762153829632612,0.030281472770121082,0.019372539185298882,0.11220333064005632,-0.0017248201412004283,-0.0076453591244748931,0.45077309026200346,-0.015296164327077089,0.020979324574732838,,,2023-01-15 14:42:04
2021-06-01,2021-06-30,30,national,11,1400,f," National",National,U.S.,US,Multi-Family (2-4 Unit),4,405776,0.014855805594743643,0.24983157359520169,410057,0.01077778405970431,0.071339189046322193,182,0.035484363577426237,0.21412279900711928,179,0.005146556651154377,0.054269434631896374,14848,0.15949592567495818,0.81843060453440741,15601,0.068039251044026638,0.73773527225541291,21685,0.10610263109587326,0.50764445269864011,35992,0.097598392864198802,0.13346187236016638,2.424055780878823,-0.13670124993579691,-1.4648948107013178,20,-1,-18,0.99970838226745251,-1.9273061897528976e-05,0.033610116303588455,0.43852368571547479,0.0094402308038386562,0.19124890399633207,0.097018604897895544,0.018886689067707602,-0.0037494908385381776,0.46747429672745949,-0.028656905671263555,0.0076026896113122744,,,2023-01-15 14:42:04
